SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;id
0126.93.03.00001190;22.553.900;2066.18;5389
0135.93.03.00003707;14.565.300;910.33;5409
0135.93.03.00003751;32.798.200;2733.18;5423
0101.82.03.00000155;10.000.000;3000;5426
0101.93.03.00000465;949.500.000;47475;5444
0153.93.03.00001639;216.162.000;24936.2;5457
0101.93.03.00000154;100.000.000;833.34;92
0101.93.03.00000388;160.000.000;80000;113
0115.93.03.00000536;63.421.200;1057.02;228
0115.93.03.00000541;2.004.176.400;33402.94;232
0115.93.03.00000543;647.427.000;10790.45;234
0115.93.03.00000547;687.780.600;11463.01;237
0115.93.03.00000558;430.956.000;7172.43;244
0115.93.03.00000561;381.696.000;6361.6;246
0115.93.03.00000563;1.163.968.200;19399.47;248
0115.93.03.00000566;1.875.240.000;31254;251
0115.93.03.00000568;664.319.400;11071.99;253
0115.93.03.00000572;163.216.200;2720.27;256
0115.93.03.00000578;471.871.200;7864.52;260
0122.93.03.00000019;124.483.400;12447;271
0123.93.03.00000547;47.543.900;2754.39;297
0123.93.03.00000605;70.164.000;7017.32;306
0123.93.03.00000614;91.774.900;6118.32;309
0123.93.03.00000685;36.564.700;2754.39;319
0123.93.03.00000713;141.608.700;9912.63;326
0123.93.03.00000718;34.083.800;2556.29;330
0123.93.03.00000736;82.425.800;7133.52;340
0123.93.03.00000751;36.695.900;3669.6;347
0123.93.03.00000758;72.542.400;14508.47;351
0123.93.03.00000763;94.187.900;7706.25;353
0123.93.03.00000772;114.995.100;11497.36;357
0123.93.03.00000787;36.686.200;7196.94;367
0123.93.03.00000792;36.686.200;3668.56;371
0123.93.03.00000800;32.229.100;3222.9;377
0123.93.03.00000820;54.239.800;5423.48;390
0123.93.03.00000827;38.245.600;3834.56;396
0123.93.03.00000829;47.456.100;4745.66;398
0123.93.03.00000837;43.372.300;4337.25;405
0123.93.03.00000839;153.387.600;15789.74;407
0123.93.03.00000841;12.699.800;3269.98;409
0123.93.03.00000846;44.386.000;4636.94;414
0123.93.03.00000849;181.139.000;18113.87;417
0123.93.03.00000854;137.868.500;13786.47;422
0124.93.03.00000447;20.799.200;1039.96;449
0124.93.03.00000476;17.797.300;3779.73;455
0124.93.03.00000479;3.850.000;5852.83;457
0124.93.03.00000490;12.686.700;1003.89;460
0124.93.03.00000517;27.656.400;829.92;462
0124.93.03.00000647;44.386.000;3328.95;507
0124.93.03.00000649;23.118.900;2311.49;509
0124.93.03.00000664;128.338.400;12583.84;517
0124.93.03.00000670;33.761.300;3376.12;523
0124.93.03.00000673;23.118.900;2311.88;525
0124.93.03.00000677;24.103.300;2410.3;528
0124.93.03.00000684;102.492.500;10249.8;534
0124.93.03.00000689;24.990.300;2499.04;538
0124.93.03.00000691;161.814.700;16181.45;540
0124.93.03.00000708;300.046.900;32501.7;556
0124.93.03.00000714;44.590.600;4423.06;562
0125.93.03.00000188;47.794.600;4777.95;576
0125.93.03.00000201;156.779.300;15677.94;583
0125.93.03.00000266;96.178.600;9617.62;610
0125.93.03.00000280;63.597.200;6360.71;621
0125.93.03.00000296;58.715.800;5871.57;635
0126.93.03.00000813;62.010.000;6201.02;689
0126.93.03.00000833;2.751.400;2751.45;691
0126.93.03.00000850;117.894.400;11789.45;693
0126.93.03.00000867;79.210.400;5921.04;695
0126.93.03.00000875;52.090.000;5208.98;697
0126.93.03.00000879;110.769.700;10676.96;700
0126.93.03.00000979;30.623.800;5743.85;711
0126.93.03.00001043;65.370.200;15125.82;734
0126.93.03.00001054;24.127.700;412.77;740
0126.93.03.00001066;57.325.100;5417.01;744
0126.93.03.00001077;104.923.500;10792.36;753
0126.93.03.00001080;196.475.100;18327.51;755
0126.93.03.00001088;158.576.800;14857.68;762
0126.93.03.00001091;41.170.500;3313.36;764
0126.93.03.00001100;46.169.600;4616.95;772
0126.93.03.00001130;13.003.300;1202.06;789
0126.93.03.00001152;20.827.100;2011.84;797
0126.93.03.00001155;111.554.900;10483.5;800
0126.93.03.00001167;54.590.600;5459.05;805
0126.93.03.00001175;110.258.800;11025.37;811
0126.93.03.00001177;27.711.800;5683.16;813
0126.93.03.00001181;41.323.700;4132.38;816
0126.93.03.00001183;174.533.100;17286.47;818
0126.93.03.00001216;117.840.800;14784.08;836
0126.93.03.00001229;41.338.900;6133.89;846
0126.93.03.00001232;16.498.400;3240.45;849
0126.93.03.00001238;45.000.000;2250;853
0126.93.03.00001244;36.364.500;3636.47;857
0126.93.03.00001249;39.271.700;7247.17;861
0126.93.03.00001277;96.391.000;9639.12;885
0126.93.03.00001284;59.595.000;2610.77;890
0126.93.03.00001293;204.424.000;11221.2;897
0129.82.03.00000003;62.177.000;6217.69;920
0129.93.03.00000480;238.986.500;23898.56;944
0129.93.03.00000482;121.437.500;7756.04;946
0129.93.03.00000493;10.000.000;9980.33;950
0129.93.03.00000541;35.658.100;3658.81;954
0129.93.03.00000587;80.945.800;6070.93;967
0129.93.03.00000598;80.945.800;7582.76;973
0129.93.03.00000614;179.600;12301.82;983
0129.93.03.00000619;54.863.200;5486.31;988
0129.93.03.00000641;50.799.200;4849.01;1006
0129.93.03.00000676;22.000.000;4452.99;1021
0129.93.03.00000698;31.501.100;3150.12;1034
